date,store,item,sales
2024-11-01,S1,I1,58
2024-11-02,S1,I1,89
2024-11-03,S1,I1,81
2024-11-04,S1,I1,61
2024-11-05,S1,I1,72
2024-11-06,S1,I1,67
2024-11-07,S1,I1,32
2024-11-08,S1,I1,45
2024-11-09,S1,I1,77
2024-11-10,S1,I1,97
2024-11-11,S1,I1,25
2024-11-12,S1,I1,55
2024-11-13,S1,I1,64
2024-11-14,S1,I1,25
2024-11-15,S1,I1,33
2024-11-16,S1,I1,91
2024-11-17,S1,I1,90
2024-11-18,S1,I1,73
2024-11-19,S1,I1,75
2024-11-20,S1,I1,32
2024-11-21,S1,I1,33
2024-11-22,S1,I1,40
2024-11-23,S1,I1,90
2024-11-24,S1,I1,77
2024-11-25,S1,I1,57
2024-11-26,S1,I1,95
2024-11-27,S1,I1,102
2024-11-28,S1,I1,38
2024-11-29,S1,I1,47
2024-11-30,S1,I1,54
2024-12-01,S1,I1,66
2024-12-02,S1,I1,54
2024-12-03,S1,I1,50
2024-12-04,S1,I1,72
2024-12-05,S1,I1,64
2024-12-06,S1,I1,40
2024-12-07,S1,I1,59
2024-12-08,S1,I1,55
2024-12-09,S1,I1,21
2024-12-10,S1,I1,82
2024-12-11,S1,I1,76
2024-12-12,S1,I1,62
2024-12-13,S1,I1,51
2024-12-14,S1,I1,87
2024-12-15,S1,I1,54
2024-12-16,S1,I1,69
2024-12-17,S1,I1,56
2024-12-18,S1,I1,53
2024-12-19,S1,I1,34
2024-12-20,S1,I1,46
2024-12-21,S1,I1,55
2024-12-22,S1,I1,79
2024-12-23,S1,I1,49
2024-12-24,S1,I1,59
2024-12-25,S1,I1,57
2024-12-26,S1,I1,46
2024-12-27,S1,I1,24
2024-12-28,S1,I1,65
2024-12-29,S1,I1,47
2024-12-30,S1,I1,70
2024-12-31,S1,I1,83
2025-01-01,S1,I1,84
2025-01-02,S1,I1,50
2025-01-03,S1,I1,35
2025-01-04,S1,I1,70
2025-01-05,S1,I1,57
2025-01-06,S1,I1,29
2025-01-07,S1,I1,40
2025-01-08,S1,I1,56
2025-01-09,S1,I1,31
2025-01-10,S1,I1,39
2025-01-11,S1,I1,78
2025-01-12,S1,I1,64
2025-01-13,S1,I1,45
2025-01-14,S1,I1,65
2025-01-15,S1,I1,67
2025-01-16,S1,I1,27
2025-01-17,S1,I1,51
2025-01-18,S1,I1,106
2025-01-19,S1,I1,52
2025-01-20,S1,I1,39
2025-01-21,S1,I1,74
2025-01-22,S1,I1,51
2025-01-23,S1,I1,50
2025-01-24,S1,I1,60
2025-01-25,S1,I1,56
2025-01-26,S1,I1,64
2025-01-27,S1,I1,28
2025-01-28,S1,I1,85
2025-01-29,S1,I1,76
2025-01-30,S1,I1,43
2025-01-31,S1,I1,39
2025-02-01,S1,I1,72
2025-02-02,S1,I1,82
2025-02-03,S1,I1,40
2025-02-04,S1,I1,56
2025-02-05,S1,I1,48
2025-02-06,S1,I1,50
2025-02-07,S1,I1,44
2025-02-08,S1,I1,74
2025-02-09,S1,I1,47
2025-02-10,S1,I1,39
2025-02-11,S1,I1,56
2025-02-12,S1,I1,34
2025-02-13,S1,I1,38
2025-02-14,S1,I1,63
2025-02-15,S1,I1,60
2025-02-16,S1,I1,78
2025-02-17,S1,I1,50
2025-02-18,S1,I1,62
2025-02-19,S1,I1,50
2025-02-20,S1,I1,28
2025-02-21,S1,I1,61
2025-02-22,S1,I1,62
2025-02-23,S1,I1,50
2025-02-24,S1,I1,42
2025-02-25,S1,I1,73
2025-02-26,S1,I1,47
2025-02-27,S1,I1,21
2025-02-28,S1,I1,43
2025-03-01,S1,I1,47
2025-03-02,S1,I1,77
2025-03-03,S1,I1,40
2025-03-04,S1,I1,43
2025-03-05,S1,I1,41
2025-03-06,S1,I1,46
2025-03-07,S1,I1,42
2025-03-08,S1,I1,55
2025-03-09,S1,I1,75
2025-03-10,S1,I1,60
2025-03-11,S1,I1,95
2025-03-12,S1,I1,99
2025-03-13,S1,I1,67
2025-03-14,S1,I1,51
2025-03-15,S1,I1,46
2025-03-16,S1,I1,64
2025-03-17,S1,I1,57
2025-03-18,S1,I1,95
2025-03-19,S1,I1,57
2025-03-20,S1,I1,32
2025-03-21,S1,I1,37
2025-03-22,S1,I1,45
2025-03-23,S1,I1,59
2025-03-24,S1,I1,47
2025-03-25,S1,I1,56
2025-03-26,S1,I1,53
2025-03-27,S1,I1,35
2025-03-28,S1,I1,40
2025-03-29,S1,I1,85
2025-03-30,S1,I1,124
2025-03-31,S1,I1,39
2025-04-01,S1,I1,73
2025-04-02,S1,I1,55
2025-04-03,S1,I1,48
2025-04-04,S1,I1,36
2025-04-05,S1,I1,63
2025-04-06,S1,I1,53
2025-04-07,S1,I1,57
2025-04-08,S1,I1,55
2025-04-09,S1,I1,47
2025-04-10,S1,I1,25
2025-04-11,S1,I1,26
2025-04-12,S1,I1,63
2025-04-13,S1,I1,58
2025-04-14,S1,I1,39
2025-04-15,S1,I1,50
2025-04-16,S1,I1,49
2025-04-17,S1,I1,56
2025-04-18,S1,I1,70
2025-04-19,S1,I1,60
2025-04-20,S1,I1,68
2025-04-21,S1,I1,31
2025-04-22,S1,I1,88
2025-04-23,S1,I1,59
2025-04-24,S1,I1,32
2025-04-25,S1,I1,15
2025-04-26,S1,I1,70
2025-04-27,S1,I1,63
2025-04-28,S1,I1,31
2025-04-29,S1,I1,40
2025-04-30,S1,I1,39
2025-05-01,S1,I1,72
2025-05-02,S1,I1,47
2025-05-03,S1,I1,67
2025-05-04,S1,I1,80
2025-05-05,S1,I1,44
2025-05-06,S1,I1,45
2025-05-07,S1,I1,96
2025-05-08,S1,I1,51
2025-05-09,S1,I1,50
2025-05-10,S1,I1,110
2025-05-11,S1,I1,61
2025-05-12,S1,I1,39
2025-05-13,S1,I1,62
2025-05-14,S1,I1,78
2025-05-15,S1,I1,35
2025-05-16,S1,I1,32
2025-05-17,S1,I1,68
2025-05-18,S1,I1,105
2025-05-19,S1,I1,39
2025-05-20,S1,I1,45
2025-05-21,S1,I1,40
2025-05-22,S1,I1,32
2025-05-23,S1,I1,44
2025-05-24,S1,I1,124
2025-05-25,S1,I1,57
2025-05-26,S1,I1,57
2025-05-27,S1,I1,89
2025-05-28,S1,I1,56
2025-05-29,S1,I1,47
2025-05-30,S1,I1,54
2025-05-31,S1,I1,67
2025-06-01,S1,I1,45
2025-06-02,S1,I1,61
2025-06-03,S1,I1,39
2025-06-04,S1,I1,60
2025-06-05,S1,I1,35
2025-06-06,S1,I1,37
2025-06-07,S1,I1,69
2025-06-08,S1,I1,62
2025-06-09,S1,I1,48
2025-06-10,S1,I1,55
2025-06-11,S1,I1,33
2025-06-12,S1,I1,18
2025-06-13,S1,I1,42
2025-06-14,S1,I1,111
2025-06-15,S1,I1,56
2025-06-16,S1,I1,63
2025-06-17,S1,I1,57
2025-06-18,S1,I1,91
2025-06-19,S1,I1,45
2025-06-20,S1,I1,62
2025-06-21,S1,I1,90
2025-06-22,S1,I1,78
2025-06-23,S1,I1,64
2025-06-24,S1,I1,54
2025-06-25,S1,I1,56
2025-06-26,S1,I1,52
2025-06-27,S1,I1,55
2025-06-28,S1,I1,70
2025-06-29,S1,I1,48
2025-06-30,S1,I1,47
2025-07-01,S1,I1,35
2025-07-02,S1,I1,34
2025-07-03,S1,I1,39
2025-07-04,S1,I1,55
2025-07-05,S1,I1,60
2025-07-06,S1,I1,73
2025-07-07,S1,I1,45
2025-07-08,S1,I1,73
2025-07-09,S1,I1,50
2025-07-10,S1,I1,25
2025-07-11,S1,I1,56
2025-07-12,S1,I1,77
2025-07-13,S1,I1,62
2025-07-14,S1,I1,56
2025-07-15,S1,I1,55
2025-07-16,S1,I1,49
2025-07-17,S1,I1,23
2025-07-18,S1,I1,75
2025-07-19,S1,I1,50
2025-07-20,S1,I1,90
2025-07-21,S1,I1,53
2025-07-22,S1,I1,52
2025-07-23,S1,I1,44
2025-07-24,S1,I1,46
2025-07-25,S1,I1,44
2025-07-26,S1,I1,42
2025-07-27,S1,I1,73
2025-07-28,S1,I1,80
2025-07-29,S1,I1,56
2025-07-30,S1,I1,65
2025-07-31,S1,I1,48
2025-08-01,S1,I1,37
2025-08-02,S1,I1,67
2025-08-03,S1,I1,65
2025-08-04,S1,I1,64
2025-08-05,S1,I1,34
2025-08-06,S1,I1,27
2025-08-07,S1,I1,59
2025-08-08,S1,I1,37
2025-08-09,S1,I1,89
2025-08-10,S1,I1,91
2025-08-11,S1,I1,32
2025-08-12,S1,I1,52
2025-08-13,S1,I1,70
2025-08-14,S1,I1,38
2025-08-15,S1,I1,91
2025-08-16,S1,I1,107
2025-08-17,S1,I1,62
2025-08-18,S1,I1,50
2025-08-19,S1,I1,66
2025-08-20,S1,I1,33
2025-08-21,S1,I1,22
2025-08-22,S1,I1,38
2025-08-23,S1,I1,114
2025-08-24,S1,I1,61
2025-08-25,S1,I1,51
2025-08-26,S1,I1,41
2025-08-27,S1,I1,42
2025-08-28,S1,I1,36
2025-08-29,S1,I1,45
2025-08-30,S1,I1,65
2025-08-31,S1,I1,69
2025-09-01,S1,I1,43
2025-09-02,S1,I1,72
2025-09-03,S1,I1,71
2025-09-04,S1,I1,61
2025-09-05,S1,I1,48
2025-09-06,S1,I1,75
2025-09-07,S1,I1,91
2025-09-08,S1,I1,46
2025-09-09,S1,I1,62
2025-09-10,S1,I1,58
2025-09-11,S1,I1,40
2025-09-12,S1,I1,42
2025-09-13,S1,I1,95
2025-09-14,S1,I1,77
2025-09-15,S1,I1,60
2025-09-16,S1,I1,49
2025-09-17,S1,I1,121
